id,Russian,English,orthography,transcription,prs,form2,form3,pos,additional_forms,kk,jena200,gld110,def_RU,context
18,РЕКА,RIVER,гьерсса,hersːa,,гьерссал,гьерссабади,n,,412,125,0,"Нейтральное слово для потока свежей воды, текущего по углублению над землёй, обычно впадающего в озеро или море. Избегать терминов для маленьких или больших рек. (CoBL)",1. Река течёт от гор к морю. 2. В нашей реке много рыбы. - Гьерсса чваххидак1а бесабадалагиба релъадагьар. 2. Ищиб иххил1и саругу ччуг1а эгу.
19,РУЧЕЙ,CREEK,иххи,iχːi,,иххил,иххибади,n,,413,0,0,"Постоянный поток воды, через который легко перешагнуть. Отличать от спонтанно возникающих потоков вылитой жидкости.",Ручей спускается с горы и впадает в реку. - Иххи чваххидегу бесалагиба кекьир гьерссал1ир.
20,РОДНИК,SPRING,инцци,incːi,,инццил,инццибади,n,,417,0,0,"Естественный источник воды, бьющий из-под земли.",Женщины ходят с кувшином к роднику. - Гьарк1к1е муудак1а г1анзук1ин инццилар.
21,БОЛОТО,SWAMP,хьяцӀцӀу,xʲacʼːu,,хьяцӀцӀулал,"хьяцӀцӀаби, хьяцӀцӀубади",n,,416,0,0,"Область постоянно стоячей воды, часто с ростом в ней деревьев. (Concepticon)","1. В озеро впадает река, а в болото — нет. 2. Ходить по болоту опасно. - 1. Игьурал1ир гьерсса чваххиде, амма хьяц1ц1ул1ир гьач1и. 2. Хьяц1ц1улала арахъиба бел1е льебуб эгу."
22,ЛЕС,FOREST,рохьу,rоxu,,рохьул,"рохьалди, рохьубади",n,рохьулӀи - в лесу,191,203,0,"Самый общий термин для густого множества деревьев, покрывающего определённую местность. Отличать от специализированных терминов вроде «рощи». (CoBL)",1. В лесу живут медведи. 2. В лесу много деревьев. - 1. Рохьул1и синди рук1удак1а. 2. Рохьул1и саругу рухьялди эгу.
23,КАМЕНЬ,STONE,гӀанча,ʕanča,,гӀанчил,гӀанчиби,n,,428,161,82,"Камень среднего размера, который можно взять в руку (и использовать как орудие). Отличать от специализированных названий мелких камней (‘галька’, ‘щебень’ и т. п.) и крупных камней (‘глыба’, ‘скала’, ‘валун’ и т. п.). (GLD)",1. Он взял в руку камень. 2. Он бросил камень в птицу. 3. Он забил в землю колышек камнем. - Вудищуд коди г1анча бигьи. 2. Вудищуд г1анча щакибач1 керч1ч1и. 3. Вудищуд  г1анчик1ин г1унщил1ир ц1ули ч1ини.
24,КАМЕШЕК,PEBBLE,чахха,čaχːa,,чаххил,чаххиби,n,,429,0,0,"Маленький камень, гладкий от контакта с водой. (CoBL)",1. На берегу реки много мелких камешков. 2. Мне в обувь попал камешек. - 1. Гьерссал рег1ила кьанихъ к1к1януб чахха эгу.
25,ГРАВИЙ,GRAVEL,чахха,čaχːa,,чаххил,-,n,,424,0,0,"Мелкие каменные осколки, использующиеся при строительстве дорог. (ДАТЬ КАРТИНКУ)",После дождей мы покрыли дорогу щебнем. - Ц1Ц1ойди ч1олибах сарух ищид микъалар чахха оли.
26,НЕБО,SKY,рехьин,rexin,,рехьинул,рехьинди,n,,418,145,0,"Самое общее слово для части земной атмосферы и пространства вне её, видимого с поверхности земли. В течение дня оно выглядит голубым, ночью — чёрным. Избегать религиозной терминологии (‘небеса’ и под.). (CoBL)",На голубом небе были белые облака. (CoBL) - Хъел рехьиндакъи рук1у хъах1уре кьергьанди.
27,СОЛНЦЕ,SUN,милъи,miɬi,,милъилал,милъибади,n,,419,164,83,"Самое общее слово для звезды в центре нашей солнечной системы, от которой Земля получает свет и тепло. Избегать терминов для ‘дневного времени’. (CoBL)","1. Ночью на небе видны звезды и луна, а днем солнце. (GLD) 2. Посмотри на солнце. (GLD) - 1. Гьадали рехьиндакьи рердак1а ц1обдил пурц1ц1ил, гьели милъи. 2. Милъилахъ кьониби."
28,ЛУНА,MOON,пурцӀцӀи,purcʼːi,,пурцӀцӀил,пурцӀцӀибади,n,,420,102,55,"Самое общее слово для естественного спутника планеты Земля. Избегать слов для отдельных стадий луны, напр. ‘(полу)месяц’. Избегать слов, чьим основным значением является скорее единица времени ‘месяц’. (CoBL)","1. Днем светит солнце, а ночью — луна. 2. На небе круглая луна. - Гьели   къалъкъалъидак1а милъи, гьадали - пурц1ц1и. 2. Рехьиндакьи гиргямуб пурц1ц1и эгу."
29,ЗВЕЗДА,STAR,цӀцӀой,cʼːоj,,цӀцӀойлъил,цӀцӀобди,n,,421,159,81,"Самое общее слово для светящегося небесного тела, видимого в основном ночью. (CoBL)","1. Ночью на небе видны звезды и луна, а днем солнце. (GLD) 2. Вон яркая звезда. (GLD) -1. Гьадали рехьиндакьи рердак1а ц1обдил пурц1ц1ил, гьели милъи. 2. Вулиби къалъилдуб ц1ц1ой."
30,МОЛНИЯ,LIGHTNING,пири,piri,,пирил,пирибади,n,,441,0,0,"Вспышка света, вызванная атмосферным электрическим разрядом. (Concepticon)","1. Молния ударила в дерево. 2. Начался дождь, раздался гром и вдали сверкнула молния. - Пири рухьул1и баг1а. 2. Ц1ц1ой байбихьили, гъоргъули, ч1ч1иду пири паркъили."
31,ГРОМ,THUNDER,гъоргъулири,ʁоrʁuliri,,гъоргъулирил,гъоргъулирди,n,,0,0,0,"Звук, производимый при ударе молнии.","1. Начался дождь, раздрался гром и вдали сверкнула молния. 2. Если слышен гром, то скоро будет дождь. - Ц1ц1ой байбихьили, гъоргъули, ч1ч1иду пири паркъили. 2. Гъоргъулири анлъида мисен, гьабсаг1ал1и ц1ц1ой ч1ордак1а."
32,РАДУГА,RAINBOW,цӀабалцӀюв,cʼabalcʼʲuw,,цӀабалцӀювлъил,цӀабалцӀювди,n,,0,0,0,"Разноцветная арка в небе, вызванная отражением света от капелек воды в воздухе.",После дождя на небе появляется радуга. - Ц1ц1ой бел1ибах сарух рехьиндакьи буххидак1а ц1абалц1юв.
33,СВЕТ,LIGHT,кону,kоnu,,конул,конубади,n,,444,0,0,"Искусственный свет, например, от костра или лампы. Отличать от ‘костра’, ‘факела’, ‘фонаря’ и прочих источников света.","1. В этой комнате темно, мне нужен свет. 2. Мы увидели вдали свет, это был костёр. - Гьаб мисуни ххунт1улъибахх эгу, дилъа кону къорабах эгу. 2. Ищиба бела ч1ч1иду кону, гьоб ц1е бук1а."
34,ТЕНЬ,SHADOW,гӀанччва,ʕančʷːa,,гӀанччвал,гӀанччвабади,n,гӀанччвалакьи - в тени,445,213,0,"Тёмная область, вызванная перекрытием солнечного света телом человека. (CoBL)",1. Он видел на земле свою тень. (CoBL) 2. Вечером тени становятся длиннее. -Вудищуба бела ч1абарила инщубги г1анччва. 2. Марк1ач1ул1и  г1анччвабади реххилалъидак1а.
35,РОСА,DEW,щиби,šːibi,,щибил,щибибади,n,,432,0,0,"Атмосферная влага, которая конденсируется после тёплого дня и ночью появляется в виде маленьких капель на прохладных поверхностях. (Concepticon)","Ночью не было дождя, но на траве роса. - Гьадали ц1ц1ой ч1олич1и, амма жумила щиби эгу."
36,ВЕТЕР,WIND,"муНчу, мучу","mũču, muču",,муНчулал,муНчубади,n,,446,198,108,"Общий термин: ‘ветер’ как движение воздуха. Следует отличать от конкретных наименований ветров (различающихся, напр., по сторонам света или по степени силы). Также отличать от наречий ‘с подветренной стороны’ и ‘с заветренной стороны’.  (GLD)",1. Облака гонит ветер. (GLD) 2. Ветер дул ему в лицо. - Кьергьанди хъанде мучулад. 2. Мучу пудегу вудищуба баг1ул1ир.
37,ОБЛАКО,CLOUD,кьергьан,ʟʼerhan,,кьергьанул,кьергьанди,n,,437,22,13,"Общий термин для белого облака в небе. Избегать слов для облаков на уровне земли (туман, мгла). Избегать терминов для конкретных типов облаков, вроде ‘тучи’ и специальных метеорологических терминов. (CoBL)","1. На небе белое облако. 2. Облако не дает дождя, а туча дает. - Рехьиндакьи хъах1уб кьергьан эгу. 2.  Цеб кьергьанлъид ц1ц1ой бихьидеч1и, кьергьандад бихьидак1а."
38,ТУМАН,FOG,гьера,hera,,гьерал,гьерабади,n,,437,57,0,"Плотное облако, находящееся вблизи поверхности земли.",1. Утром я не видел соседнее селение из-за тумана. 2. Туман часто выпадает по утрам. - Рагьадиба диба белач1и лъаргьак1уб гьани гьера сабалъи. 2. Гьера кьанихъисбал билъидак1а рагьадиба.
39,ДОЖДЬ,RAIN,цӀцӀой,cʼːоj,,цӀцӀойлӀил,цӀцӀойди,n,,433,121,66,"Влажные осадки (общий термин). Избегать слов для отдельных видов дождя (‘ливень’, ‘грибной дождь’). (CoBL)","1. Дождь — это небесная вода. (GLD)  2. Посмотри на дождь, он пока еще не очень сильный. (GLD) - Ц1ц1ой - гьоб рехьиндал лъин эгу. 2. Кьаниби ц1ц1одолахъ, гьоб жерала къуватисс гьач1и."
40,СНЕГ,SNOW,гӀанзи,ʕanzi,,гӀанзилал,гӀанзибади,n,,434,152,0,"Общий термин для самого обычного в данном ареале вида замёрзших осадков (чаще всего, снежные хлопья или маленькие кристаллы). (CoBL)",1. Зимой выпадает снег. 2. На земле лежал снег. (CoBL) - Ццебира рук1удак1а г1анзи. 2. Ч1абарила г1анзи эгу.
41,ГРАД,HAIL,гору,gоru,,горул,горубади,n,,0,0,0,Осадки в форме частиц льда.,Град повредил крышу дома. - Горид бич1али мисул чардагъ.
42,ИДТИ (О ДОЖДЕ),RAIN (V),цӀцӀой чӀоледу,cʼːоj čʼоrdegu,цӀцӀой чӀорда эгу (цӀцӀой чӀордегу),цӀцӀой чӀоли,цӀцӀой чӀолиби,v,,0,0,0,Падать с неба в виде мокрых осадков.,"1. На улице идёт дождь, оставайся дома. 2. Сегодня прошёл дождь, и земля мокрая. - Къот1и ц1ц1ой ч1ордегу, къела вугъаби. 2. Желъили ц1ц1ой ч1оли, г1унщи ч1алуб эгу."
43,ЛЁД,ICE,зари,zari,,зарил,зарибади,n,,436,83,0,Вода в твёрдом состоянии. (CoBL),1. Зимой озеро покрыто льдом. 2. На солнце лёд тает. - Ццебира игьур зарид бацулибах эгу. 2. Милъилакьи зари биц1идегу.
44,ИНЕЙ,FROST,гӀасари,ʕasari,,гӀасарил,гӀасарибади,n,,435,0,0,"Кристаллы льда на земле. траве, деревьях и других объектах.","Снег ещё не выпал, но утром на траве иней. - Г1анзи жерала рук1убахх гьач1и, амма рагьадиба жумила г1асари бук1удак1а."
45,МЁРЗНУТЬ,FREEZE,гӀеледу,ʕerdegu,гӀерда эгу (гӀердегу),гӀели,гӀелиби,v,,187,60,0,Переходить из жидкого состояния в твёрдое под действием холода.,1. Зимой вода на озере замёрзла. 2. На холоде вода замерзает. - Ццебира лъим игьурала г1ели. 2. Залъурила лъим г1ердак1а.
46,ТАЯТЬ,MELT (INTR),бицӀеду,-icʼidegu,бицӀида эгу (бицӀидегу),бицӀи,бицӀаби,v,"вуцӀи, йицӀи, бицӀи, бицӀи, рицӀи",54,0,0,Переходить из твёрдого состояния в жидкое (о воде).,"1. Наступила весна, и весь снег растаял. 2. На солнце лёд тает. - Г1елиб баг1а, эгубал г1анзи биц1а."
47,РАСТАПЛИВАТЬ,MELT (TR),бицӀаледу,-icʼaldegu,бицӀалда эгу (бицӀалдегу),бицӀали,бицӀала,v,"вуцӀали, йицӀали, бицӀали, бицӀали, рицӀали",55,0,0,Превращать лёд и снег из твёрдого состояния в жидкое воздействием тепла.,Весной солнце растопило снег и лёд. - Г1елиба милъилад биц1али г1анзил зарил.
48,ОГОНЬ,FIRE,цӀе,cʼe,,цӀел / цӀелӀи,цӀебди,n,,440,50,27,"Состояние горения материала, в процессе которого выделяется тепло, пламя и дым. (CoBL)",1. Вдалеке я вижу огонь. 2. Он потушил огонь водой. 3. Огонь может обжечь. - Ч1ч1иду диба бердегу ц1е. 2. Вудищуд мищоли ц1е лъимк1ин. 3. Ц1ед бежале хьолъидак1а.
49,ДЫМ,SMOKE,кӀкӀуНй,kʼːũj,,кӀкӀуНйал,кӀкӀуНйди,n,,442,149,79,"Дым как результат горения дерева, травы, кизяка (но не после кремации). Следует отличать от ‘пара’, а также специальных видов дыма (напр., ‘(густой) черный дым’). (GLD)","1. Когда нет ветра, дым от костра поднимается прямо вверх. (GLD) 2. Дым ест мне глаза. (GLD) - Мучу гьач1укъол1и, к1куй ц1егьагиба дандибит1илъи гьалуба гьерц1идак1а."
50,ЗОЛА,ASH,кье,ʟʼe,,кьел,кьебади,n,,443,4,2,"Зола как продукт сгорания дерева, травы, кизяка (но не после кремации, как в русском прах). Отличать от маркированных «табачного пепла», «вулканического пепла», а также «жара костра» (неостывшая зола, см. контекст 3). (GLD)",1. От костра осталась одна зола и угли. (GLD) 2. Ветер развеял золу. (GLD) 3. Он взял в горсть золу. (GLD) - Ц1еч1 гьедахх бехху кьел гьобал. 2. Мучулад бигьигьи кье.  3.Вудищуд хъатили кье бигьи.
51,ГОРЕТЬ,BURN (INTR),болъеду,-oɬidegu,болъида эгу (болъидегу),болъи,болъиби,v,"волъи, йолъи, болъи, болъи, ролъи",56,20,0,Быть поглощаемым огнём.,"1. Мой дом горит, принесите воду! 2. У моего брата сгорел дом, и он живёт у нас. - Диб миса болъидегу, лъим багьа! 2. Див вацищуб миса болъи, вудив ищич1 г1умругигьох эгу."
52,ЖЕЧЬ,BURN (TR),болъаледу,-oɬaldegu,болъалда эгу (болъалдегу),болъали,болъа,v,"волъали, йолъали, болъали, болъали, ролъали",57,0,12,"Переходный глагол (не ‘гореть’). Отличать от ‘зажечь’, ‘поджечь’ и от маркированного ‘сжечь дотла’.  (GLD)",1. Он сжёг все дрова. 2. Зачем ты жжёшь старую одежду? (GLD) - Вудищуд болъи эгубал гьуди. 2. Суна минди болъидеб кьураб жила?
53,ЗАГОРАТЬСЯ,START BURNING,бекведу,-ekudegu,бекуда эгу (бекудегу),беку,бекуби,v,"воку, йеку, беку, беку, реку",58,0,0,Начать гореть от внешнего воздействия.,Трава загорелась от пламени костра. - Жуми беку ц1ел1и мац1илъич1ба..
54,ЗАЖИГАТЬ,IGNITE,бекваледу,-ekʷaldegu,беквалда эгу (беквалдегу),беквали,беквала,v,"воквали, йеквали, беквали, беквали, реквали",59,0,0,Заставить гореть.,Я зажёг костёр спичками и бумагой.
55,ГАСНУТЬ,BECOME EXTINGUISHED,миНщведу,-ĩšːudegu,миНщуда эгу (миНщудегу),миНщу,миНщуби,v,"вуНщу, йиНщу, миНщу, миНщу, ниНщу",60,0,0,Прекратить гореть.,"1. Мы налили воду, и костёр погас. 2. Под дождём огонь гаснет."
56,ТУШИТЬ,EXTINGUISH,миНщваледу,-ĩšːʷaldegu,миНщвалда эгу (миНщвалдегу),миНщвали,миНщвала,v,"миНщвали, ниНщвали",61,0,0,Прервать процесс горения путём внешнего воздействия.,"1 (СВ). Мой дом загорелся, но сельчане быстро его потушили. 2 (НСВ). Не мешайте людям, они тушат пожар!"
57,ОСТЫВАТЬ,BECOME COLD,зарилъеду,zariɬidegu,зарилъида эгу (зарилъидегу),зарилъи,заригьа,v,,62,0,0,"Переходить из горячего состояния в холодное (например, о еде).","1 (СВ). Еда уже остыла, придётся её греть. 2 (НСВ). В холодное время еда быстро остывает.- Къамири зарилъи, ансагьеду бухьас. 2. Залъуб заманалъид къамири паркъа зарилъидак1а."
58,ДРОВА,FIREWOOD,гьуди-цӀули,hudi-cʼuli,,гьуди-цӀулилъил,-,n,,349,0,0,"Дерево, предназначенное для сжигания.",Мы собрали дрова и разожгли костёр. - Ищид гьуди-ц1улил бак1арили ц1е беквали.
59,УГОЛЬ,CHARCOAL,гьоба,hоba,,гьобал,-,n,,351,0,0,"Сухое топливо, полученное путём нагревания древесины в отсутствие воздуха.","1. На земле были угли от потухшего костра. 2. Мы разожгли самовар углём, а не дровами."
60,УГОЛЁК,CHARCOAL PIECE,кьохил цӀе,ʟʼоχil cʼe,,кьохил цӀел,кьохилӀе цӀебди,n,,0,0,0,Одна гранула древесного угля.,Из очага выпал уголёк.
61,ГОРЯЩИЙ УГОЛЬ,EMBERS,гьерилъуб гьоба,heriɬub hоba,,гьерилъуб гьобал,гьерилъуре гьобабади,n,,0,0,0,Маленький горящий уголёк в гаснущем огне.,1. Эти угли ещё горячие. 2. Мы положили мясо на угли.
62,КИЗЯК,DUNG FUEL,кила,kila,,килул,-,n,,350,0,0,"Засохший помёт животных, используемый как топливо.","Зимой мы топим печь кизяками, а не дровами."
63,ЧЕЛОВЕК,PERSON,"гӀадам, гӀадан","ʕadam, ʕadan",,гӀадамиб,гӀадамади,n,,0,117,52,"Базисный термин, обозначающий человека как вид, безотносительно к половой принадлежности. (GLD)","1. В кустах что-то шевелится, я не понимаю, это человек или зверь. (GLD)  2. Человек умеет говорить, а животное — нет. (GLD) 3. Если на этот мост встанет ещё один человек, мост развалится."
64,МУЖЧИНА,MAN,гьекӀва,hekʼʷa,,гьекӀващуб,гьекӀвабади,n,,110,99,51,"Взрослый человек мужского пола. Отличать от понятия ‘самец’ (‘male’), если для последнего существует отдельное слово, равно как и от обозначения человека вообще (‘person’ / ‘human being’). Контекст 1 является культурно обусловленным; здесь следует подставлять наименования типичных для данного социума мужского и женского занятий (охота, готовка и т. п.). Если в языке нет общего слова для ‘мужчины’, а имеется спецификация по возрастным группам, то соответствующие лексемы для возраста примерно 20—45 лет надо брать как синонимы. Отличать от специальных наименований холостяка, вдовца и т. п. Те же контексты, что и для №98 ‘женщина’. (GLD)","1. Мужчины делают [X], а женщины делают [Y]. (GLD)  2. Женщины рожают детей, а мужчины — нет. (GLD)"
64,МУЖЧИНА,MAN,кунтӀав (гӀадам),kuntʼaw (ʕadam),,кунтӀав гӀадамщуб,кунтӀабе гӀадамади,n,,110,99,51,"Взрослый человек мужского пола. Отличать от понятия ‘самец’ (‘male’), если для последнего существует отдельное слово, равно как и от обозначения человека вообще (‘person’ / ‘human being’). Контекст 1 является культурно обусловленным; здесь следует подставлять наименования типичных для данного социума мужского и женского занятий (охота, готовка и т. п.). Если в языке нет общего слова для ‘мужчины’, а имеется спецификация по возрастным группам, то соответствующие лексемы для возраста примерно 20—45 лет надо брать как синонимы. Отличать от специальных наименований холостяка, вдовца и т. п. Те же контексты, что и для №98 ‘женщина’. (GLD)","1. Мужчины делают [X], а женщины делают [Y]. (GLD)  2. Женщины рожают детей, а мужчины — нет. (GLD)"
65,ЖЕНЩИНА,WOMAN,гьаркӀкӀуй гӀадам,harkʼːuj ʕadam,,гьаркӀкӀуй гӀадамлъил,гьаркӀкӀубе гӀадамади,n,,111,202,98,"Самое общее слово для взрослого человека женского пола. Избегать терминов родства и отношения там, где они отличаются. Избегать специальных слов для молодых или пожилых женщин. Избегать маркированных вежливых форм, таких, как ‘госпожа’ и т.д. (CoBL)","1. Мужчины делают [X], а женщины делают [Y]. (GLD) 2. Женщины рожают детей, а мужчины — нет. (GLD)"
66,САМЕЦ,MALE ANIMAL,кунтӀаб,kuntʼab,,,,n,множ. кунтӀе,474,0,0,"Животное мужского пола. Включать в список, только если есть общее слово для всех животных.",
67,САМКА,FEMALE ANIMAL,гьаркӀкӀуб,harkʼːub,,,,n,множ. гьаркӀкӀе,475,0,0,"Животное женского пола. Включать в список, только если есть общее слово для всех животных.",
